100	0	
0.6	0	
0	6	
0	0.299249	
0	0	
1	1	
2	2	
3	0	
4	1	
5	0	
6	0	
7	1	
8	2	
9	3	
10	2	
11	0	
12	3	
13	1	
14	2	
15	2	
16	1	
17	3	
18	2	
19	5	
20	1	
21	4	
22	2	
23	0	
24	0	
25	1	
26	1	
27	0	
28	1	
29	2	
30	2	
31	2	
32	4	
33	0	
34	0	
35	0	
36	0	
37	1	
38	2	
39	0	
40	0	
41	2	
42	1	
43	1	
44	1	
45	1	
46	1	
47	1	
48	2	
49	1	
50	2	
51	1	
52	2	
53	1	
54	5	
55	2	
56	2	
57	2	
58	1	
59	3	
60	1	
61	2	
62	0	
63	1	
64	0	
65	0	
66	5	
67	0	
68	2	
69	0	
70	2	
71	1	
72	1	
73	1	
74	2	
75	5	
76	2	
77	1	
78	1	
79	0	
80	0	
81	3	
82	1	
83	1	
84	3	
85	0	
86	2	
87	0	
88	3	
89	1	
90	1	
91	2	
92	3	
93	1	
94	3	
95	2	
96	0	
97	1	
98	0	
99	3	
